category,sub_category,total_sales,total_profit,profit_margin_percentage
Technology,Copiers,149528.01,55617.90,37.20
Technology,Phones,330007.10,44516.25,13.49
Technology,Accessories,167380.31,41936.78,25.05
Office Supplies,Paper,78479.24,34053.34,43.39
Office Supplies,Binders,203412.77,30221.64,14.86
Furniture,Chairs,328449.13,26590.15,8.10
Office Supplies,Storage,223843.59,21279.05,9.51
Office Supplies,Appliances,107532.14,18138.07,16.87
Furniture,Furnishings,91705.12,13059.25,14.24
Office Supplies,Envelopes,16476.38,6964.10,42.27
Office Supplies,Art,27118.80,6527.96,24.07
Office Supplies,Labels,12486.30,5546.18,44.42
Technology,Machines,189238.68,3384.73,1.79
Office Supplies,Fasteners,3024.25,949.53,31.40
Office Supplies,Supplies,46673.52,-1188.99,-2.55
Furniture,Bookcases,114880.05,-3472.56,-3.02
Furniture,Tables,206965.68,-17725.59,-8.56
