product_name,category,total_sales,total_profit
Cubify CubeX 3D Printer Double Head Print,Technology,11099.96,-8879.97
Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.90,-4589.97
Cubify CubeX 3D Printer Triple Head Print,Technology,7999.98,-3839.99
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,9917.64,-2876.11
Bush Advantage Collection Racetrack Conference Table,Furniture,9544.72,-1934.40
GBC DocuBind P400 Electric Binding System,Office Supplies,17965.07,-1878.17
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.08
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,16656.21,-1299.19
Balt Solid Wood Round Tables,Furniture,6518.76,-1201.06
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,1706.26,-1148.44
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,4446.18,-1147.41
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,1212.71,-1057.23
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,5282.42,-989.04
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,2740.20,-975.12
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,Furniture,5634.90,-964.20
Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,703.71,-938.28
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,2946.19,-872.07
"Bevis Oval Conference Table, Walnut",Furniture,6942.07,-856.02
Tennsco Single-Tier Lockers,Office Supplies,9158.29,-825.76
BPI Conference Tables,Furniture,2241.87,-795.98
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Technology,2330.65,-785.77
O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,2946.36,-767.75
O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,3420.77,-755.76
Hon 94000 Series Round Tables,Furniture,7404.49,-681.22
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,15610.97,-669.53
"SAFCO Commercial Wire Shelving, Black",Office Supplies,4199.45,-635.45
Bestar Classic Bookcase,Furniture,1897.81,-612.93
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,4297.65,-611.59
Hon Racetrack Conference Tables,Furniture,3963.91,-598.52
Bevis Rectangular Conference Tables,Furniture,1007.26,-586.85
Bretford CR4500 Series Slim Rectangular Table,Furniture,7242.78,-532.76
Tenex Antistatic Computer Chair Mats,Furniture,3317.02,-530.03
"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture,2058.50,-529.76
"Bevis Round Conference Table Top, X-Base",Furniture,2671.43,-519.94
Lexmark MarkNet N8150 Wireless Print Server,Technology,723.51,-506.46
"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,4166.89,-503.12
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,3680.53,-491.17
KI Conference Tables,Furniture,2140.90,-479.21
"Global High-Back Leather Tilter, Burgundy",Furniture,5436.15,-474.74
SAFCO Boltless Steel Shelving,Office Supplies,4704.71,-470.47
"3D Systems Cube Printer, 2nd Generation, White",Technology,2339.98,-468.00
