order_month,total_sales,total_profit,total_orders
2014-01,14236.90,2450.18,32
2014-02,4519.92,862.30,28
2014-03,55691.04,498.72,71
2014-04,28295.35,3488.86,66
2014-05,23648.28,2738.74,69
2014-06,34595.14,4976.56,66
2014-07,33946.37,-841.46,65
2014-08,27909.47,5318.11,72
2014-09,81777.34,8328.08,130
2014-10,31453.37,3448.23,78
2014-11,78628.74,9292.15,151
2014-12,69545.64,8983.59,141
2015-01,18174.08,-3280.97,29
2015-02,11951.40,2813.84,36
2015-03,38726.26,9732.07,79
2015-04,34195.25,4187.53,72
2015-05,30131.72,4667.83,74
2015-06,24797.31,3335.56,68
2015-07,28765.32,3288.71,66
2015-08,36898.32,5355.82,68
2015-09,64595.87,8209.17,140
2015-10,31404.90,2817.37,87
2015-11,75972.51,12474.80,158
2015-12,74919.52,8016.96,161
2016-01,18542.52,2824.82,48
2016-02,22978.82,5004.59,45
2016-03,51715.86,3611.98,86
2016-04,38750.04,2977.88,89
2016-05,56987.75,8662.09,108
2016-06,40344.54,4750.33,97
2016-07,39261.99,4432.90,96
2016-08,31115.35,2062.05,90
2016-09,73410.09,9328.68,192
2016-10,59687.80,16243.22,105
2016-11,79412.03,4011.45,183
2016-12,96999.07,17885.28,176
2017-01,43971.37,7140.45,69
2017-02,20301.12,1613.89,53
2017-03,58872.35,14751.87,118
2017-04,36521.52,933.30,116
2017-05,44261.08,6342.70,118
2017-06,52981.73,8223.42,133
2017-07,45264.43,6952.60,111
2017-08,63120.85,9041.09,111
2017-09,87866.66,10991.57,226
2017-10,77776.96,9275.38,147
2017-11,118447.81,9690.10,261
2017-12,83829.31,8483.40,224
