product_name,category,total_sales,total_profit,profit_margin_percentage
Canon imageCLASS 2200 Advanced Copier,Technology,61599.83,25199.94,40.91
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,27453.38,7753.06,28.24
Hewlett Packard LaserJet 3310 Copier,Technology,18839.68,6983.89,37.07
Canon PC1060 Personal Laser Copier,Technology,11619.83,4570.94,39.34
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,18374.90,4094.98,22.29
Ativa V4110MDD Micro-Cut Shredder,Technology,7699.89,3772.95,49.00
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,14299.89,3717.97,26.00
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,9367.29,3696.28,39.46
Ibico EPK-21 Electric Binding System,Office Supplies,15875.92,3345.29,21.07
Zebra ZM400 Thermal Label Printer,Technology,6965.70,3343.53,48.00
